,model,RMSE,MAPE,DA,R2
0,7_64_8,10.952081680297852,8.093158721923828,44.73684210526316,-0.7603468894958496
1,7_64_16,10.796589851379395,7.987911224365234,44.89164086687307,-0.7107166051864624
2,7_64_32,10.553759574890137,7.842841148376465,44.58204334365325,-0.6346286535263062
3,7_64_64,10.242636680603027,7.628557205200195,44.27244582043344,-0.5396732091903687
