,model,RMSE,MAPE,DA,R2
0,7_64_8,1155.9427490234375,7.079909801483154,40.67796610169492,-5.060736179351807
1,7_64_16,1069.0526123046875,6.451812267303467,40.06163328197226,-4.18383264541626
2,7_64_32,1163.0677490234375,7.111637115478516,46.687211093990754,-5.135684013366699
3,7_64_64,1167.1427001953125,7.135613441467285,46.379044684129425,-5.178749084472656
